TITLE,AUTHOR,PUB YEAR,LANGUAGE,STATUS
"Black Leopard, Red Wolf","JAMES, Marlon",2019,English,IN PROGRESS
Call Me By Your Name,"ACIMAN, Andre",2007,English,COMPLETED
"The History of England, Volume I: Foundation","ACKROYD, Peter",2011,English,COMPLETED
"The History of England, Volume II: Tudors","ACKROYD, Peter",2012,English,COMPLETED
"The History of England, Volume III: Rebellion","ACKROYD, Peter",2014,English,COMPLETED
"The History of England, Volume IV: Revolution","ACKROYD, Peter",2016,English,COMPLETED
The Absolutely True Diary of a Part-Time Indian,"ALEXIE, Sherman",2007,English,COMPLETED
"Time's Arrow, or: The Nature of the Offense","AMIS, Martin",1991,English,COMPLETED
Beowulf,"Anonymous",ca. 975-1025,English,COMPLETED
Northanger Abbey,"AUSTEN, Jane",1818,English,COMPLETED
Pride and Prejudice,"AUSTEN, Jane",1813,English,COMPLETED
Sense and Sensibility,"AUSTEN, Jane",1811,English,COMPLETED
Giovanni's Room,"BALDWIN, James",1956,English,COMPLETED
Go Tell It on the Mountain,"BALDWIN, James",1953,English,COMPLETED
Nightwood,"BARNES, Djuna",1936,English,COMPLETED
Playing Shakespeare: An Actor's Guide,"BARTON, John",1984,English,COMPLETED
Waiting for Godot,"BECKETT, Samuel",1953,English,COMPLETED
The Second World War,"BEEVOR, Antony",2012,English,COMPLETED
All That Is Solid Melts Into Air,"BERMAN, Marshall",1982,English,COMPLETED
Aurora Floyd,"BRADDON, Mary Elizabeth",1863,English,COMPLETED
Lady Audley's Secret,"BRADDON, Mary Elizabeth",1862,English,COMPLETED
Villette,"BRONTE, Charlotte",1853,English,COMPLETED
Star Wars Episode I: The Phantom Menace, "BROOKS, Terry",1999,English,COMPLETED
"Clotel, or: The President's Daughter","BROWN, William Wells",1853,English,COMPLETED
Give Them an Argument: Logic for the Left, "BURGIS, Ben",2019,English,COMPLETED
The Letters of J.R.R. Tolkien, "CARPENTER, Humphrey ed.",2023,English,COMPLETED
Parlement of Foules,"CHAUCER, Geoffrey",1343,English,COMPLETED
The Book of the Duchess,"CHAUCER, Geoffrey",1368,English,COMPLETED
The Legend of Good Women,"CHAUCER, Geoffrey",1386,English,COMPLETED
Troilus and Criseyde,"CHAUCER, Geoffrey",1380,English,COMPLETED
No Name,"COLLINS, Wilkie",1862,English,COMPLETED
The Woman in White,"COLLINS, Wilkie",1860,English,COMPLETED
Heart of Darkness,"CONRAD, Joseph",1899,English,COMPLETED
Lord Jim,"CONRAD, Joseph",1900,English,COMPLETED
The Pioneers,"COOPER, James Fenimore",1823,English,COMPLETED
Private Lives,"COWARD, Noel",1930,English,COMPLETED
Specimen Days,"CUNNINGHAM, Michael",2005,English,COMPLETED
The God Delusion,"DAWKINS, Richard",2006,English,COMPLETED
The Man in the High Castle,"DICK, Philip K.",1962,English,COMPLETED
Great Expectations,"DICKENS, Charles",1861,English,COMPLETED
Greek Homosexuality, "DOVER, Kenneth J.", 1978, English,COMPLETED
Ella Minnow Pea,"DUNN, Mark",2001,English,COMPLETED
Rites of Spring: The Great War and the Birth of the Modern Age,"EKSTEINS, Modris",1989,English,COMPLETED
